"Comment","User","ReplyCount","LikeCount","PublishTime","CommentId","ParentID","ReplyToAnotherUser","VideoID","sentimentQDAP.WordCount","sentimentQDAP.SentimentGI","sentimentQDAP.NegativityGI","sentimentQDAP.PositivityGI","sentimentQDAP.SentimentHE","sentimentQDAP.NegativityHE","sentimentQDAP.PositivityHE","sentimentQDAP.SentimentLM","sentimentQDAP.NegativityLM","sentimentQDAP.PositivityLM","sentimentQDAP.RatioUncertaintyLM","sentimentQDAP.SentimentQDAP","sentimentQDAP.NegativityQDAP","sentimentQDAP.PositivityQDAP","Sentiment.WordCount","Sentiment.SentimentGI","Sentiment.NegativityGI","Sentiment.PositivityGI","Sentiment.SentimentHE","Sentiment.NegativityHE","Sentiment.PositivityHE","Sentiment.SentimentLM","Sentiment.NegativityLM","Sentiment.PositivityLM","Sentiment.RatioUncertaintyLM","Sentiment.SentimentQDAP","Sentiment.NegativityQDAP","Sentiment.PositivityQDAP"
"https skeptical /youtu.be/ktml6pl87ec","Bible of Jesus Father Holy Spirit","1","0","2022-09-13T03:14:59Z","UgwVTOj7bz_OpiefWph4AaABAg","None","FALSE","-UdWguw90g4",  3.000000000, -0.333333333,  0.333333333,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000, -0.333333333,  0.333333333,  0.000000000,  3,negative,0.33333333,0.00000000,neutral,0.000000000,0.000000000,neutral,0.00000000,0.000000000,0.000000000,negative,0.33333333,0.00000000
"how i only discovered your channel only now frown ","Cars Merch Old JDM","2","0","2022-09-11T17:17:06Z","Ugxg62vx9lVY0OYV8PJ4AaABAg","None","FALSE","-UdWguw90g4",  4.000000000, -0.250000000,  0.250000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000, -0.250000000,  0.250000000,  0.000000000,  4,negative,0.25000000,0.00000000,neutral,0.000000000,0.000000000,neutral,0.00000000,0.000000000,0.000000000,negative,0.25000000,0.00000000
"when it comes to investing, we want our money to grow with the highest rates of return, and the lowest risk possible. while there are no shortcuts to getting rich, but there are smart ways to go about it","Eloise Wattkins","42","40","2022-09-11T11:26:09Z","UgyxHro18oIrNCvC1wx4AaABAg","None","FALSE","-UdWguw90g4", 16.000000000,  0.187500000,  0.062500000,  0.250000000,  0.000000000,  0.125000000,  0.125000000,  0.062500000,  0.000000000,  0.062500000,  0.125000000,  0.125000000,  0.062500000,  0.187500000, 16,positive,0.06250000,0.25000000,neutral,0.125000000,0.125000000,positive,0.00000000,0.062500000,0.125000000,positive,0.06250000,0.18750000
"5:10 bride with veil bride with veil bride with veil bride with veil ","Games4boyz","2","0","2022-09-11T08:34:40Z","Ugzov0-uteL8aAYXzy54AaABAg","None","FALSE","-UdWguw90g4",  8.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  8,neutral,0.00000000,0.00000000,neutral,0.000000000,0.000000000,neutral,0.00000000,0.000000000,0.000000000,neutral,0.00000000,0.00000000
"hello mrs clarissa the bitcoin trader is legit and her method works like magic i keep on earning every single week with her new strategies.....","ELIZABETH LAURA","39","51","2022-09-09T21:42:13Z","UgzZED1gJqRO_Zl7bCJ4AaABAg","None","FALSE","-UdWguw90g4", 17.000000000,  0.117647059,  0.000000000,  0.117647059,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.176470588,  0.000000000,  0.176470588, 17,positive,0.00000000,0.11764706,neutral,0.000000000,0.000000000,neutral,0.00000000,0.000000000,0.000000000,positive,0.00000000,0.17647059
"there was a nice option on 03:48 to add sunlight move across the room in the background. but i can't say i dislike your videos. this is real art to me. *thumb up","C. P.","2","0","2022-09-07T01:38:00Z","Ugwrhq0DgpPEBa0ksg14AaABAg","None","FALSE","-UdWguw90g4", 15.000000000,  0.200000000,  0.066666667,  0.266666667,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.066666667,  0.066666667, 15,positive,0.06666667,0.26666667,neutral,0.000000000,0.000000000,neutral,0.00000000,0.000000000,0.000000000,neutral,0.06666667,0.06666667
"the big short style ending is greaaat.","System Loading","2","0","2022-09-05T05:14:05Z","UgzJWWajkqU1FbdWSwV4AaABAg","None","FALSE","-UdWguw90g4",  5.000000000, -0.200000000,  0.200000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000, -0.200000000,  0.200000000,  0.000000000,  5,negative,0.20000000,0.00000000,neutral,0.000000000,0.000000000,neutral,0.00000000,0.000000000,0.000000000,negative,0.20000000,0.00000000
"our btgroup specialize in v3 gold, v2 foreign currency, rsi pro - auto bot. link to register for consultation: https skeptical /bom.so/uaa0mh","Jack Foker","2","0","2022-09-01T08:59:16Z","Ugz5bExvFNtnZqWMyI94AaABAg","None","FALSE","-UdWguw90g4", 15.000000000,  0.133333333,  0.133333333,  0.266666667,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.066666667,  0.066666667, 15,positive,0.13333333,0.26666667,neutral,0.000000000,0.000000000,neutral,0.00000000,0.000000000,0.000000000,neutral,0.06666667,0.06666667
"wild.","Danny Lin","2","0","2022-08-31T05:27:32Z","Ugx6oMn6SrjLx3Q_yYh4AaABAg","None","FALSE","-UdWguw90g4",  1.000000000, -1.000000000,  1.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000, -1.000000000,  1.000000000,  0.000000000,  1,negative,1.00000000,0.00000000,neutral,0.000000000,0.000000000,neutral,0.00000000,0.000000000,0.000000000,negative,1.00000000,0.00000000
"working for today","JACK EDWARD INGA NAUPA","2","0","2022-08-27T23:45:15Z","Ugx952BiAZiSKY-dGeJ4AaABAg","None","FALSE","-UdWguw90g4",  2.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.500000000,  0.000000000,  0.500000000,  2,neutral,0.00000000,0.00000000,neutral,0.000000000,0.000000000,neutral,0.00000000,0.000000000,0.000000000,positive,0.00000000,0.50000000
